2016/05/19,1
2016/05/15,2
2016/05/11,1
2016/05/07,1
2016/05/05,2
2016/04/24,2
2016/04/22,1
2016/04/14,2
2016/04/09,1
2016/04/07,1
2016/04/06,1
2016/04/04,2
2016/03/26,1
2016/03/25,2
2016/03/15,2
2016/03/07,1
2016/03/06,1
2016/03/05,2
2016/03/03,1
2016/02/29,1
2016/02/28,1
2016/02/27,1
2016/02/26,2
2016/02/21,1
2016/02/20,1
2016/02/12,2
2016/02/11,1
2016/02/01,1
2016/01/30,12
2016/01/29,1
2016/01/27,1
2016/01/26,2
2016/01/24,1
2016/01/22,1
2016/01/20,1
2016/01/19,1
2016/01/15,1
2016/01/11,1
2016/01/08,1
2016/01/06,1
2016/01/04,1
2016/01/02,1
2015/12/31,1
2015/12/29,1
2015/12/28,1
2015/12/27,3
2015/12/24,1
2015/12/22,1
2015/12/17,1
2015/12/15,1
2015/12/12,1
2015/12/10,1
2015/12/08,1
2015/12/05,1
2015/12/01,1
2015/11/30,1
2015/11/27,1
2015/11/25,1
2015/11/23,1
2015/11/20,1
2015/11/18,1
2015/11/16,1
2015/11/14,1
2015/11/11,1
2015/11/09,1
2015/11/07,1
2015/11/04,1
2015/11/02,1
2015/10/31,1
2015/10/28,2
2015/10/26,1
2015/10/24,1
2015/10/23,2
2015/10/22,1
2015/10/20,2
2015/10/17,1
2015/10/15,1
2015/10/13,1
2015/10/05,1
2015/09/24,2
2015/09/13,1
2015/09/11,1
2015/09/10,1
2015/09/02,1
2015/08/28,1
2015/08/25,1
2015/08/21,1
2015/08/20,1
2015/08/18,2
2015/08/16,1
2015/08/14,1
2015/08/06,1
2015/07/27,1
2015/07/24,2
2015/07/01,1
2015/06/30,2
2015/06/28,1
2015/06/24,1
2015/06/19,1
2015/06/17,1
2015/06/14,1
2015/06/11,1
2015/05/25,1
2015/05/16,1
2015/05/14,4
